CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,02/27/2021 10:10:00 AM,21-009353,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,23X,4000 ALAMEDA AVE,Oakland,CA,
FRAUD,07/04/2020 04:00:00 PM,21-900118,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,34X,HOLLY ST & AUSEON AV,Oakland,CA,
STOLEN VEHICLE,12/17/2020 10:00:00 PM,20-061835,VEHICLE THEFT - OTHER VEHICLES,31Z,100 ISLETON AV,Oakland,CA,
WEAPONS,01/04/2021 03:19:00 PM,21-000550,CARRY CONCEALED WEAPON ON PERSON,29X,5500 FOOTHILL BLVD,Oakland,CA,
MISDEMEANOR ASSAULT,12/10/2020 05:10:00 PM,20-060627,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,33X,9200 A ST,Oakland,CA,
BURG - AUTO,01/16/2021 04:35:00 PM,21-900791,BURGLARY-AUTO,13Z,8600 SKYLINE BLVD,Oakland,CA,
HOMICIDE,12/23/2020 01:00:00 PM,20-062707,SC UNEXPLAINED DEATH,05Y,1400 16TH ST,Oakland,CA,
MISDEMEANOR ASSAULT,12/20/2020 09:38:00 PM,20-062124,BATTERY,20X,2500 INTERNATIONAL BLVD,Oakland,CA,
STOLEN VEHICLE,01/25/2021 01:30:00 AM,21-003815,VEHICLE THEFT - AUTO,06X,800 36TH ST,Oakland,CA,
DOMESTIC VIOLENCE,01/03/2021 03:00:00 AM,21-000314,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,33X,1200 88TH AV,Oakland,CA,
BURG - AUTO,12/02/2020 07:00:00 PM,20-920222,BURGLARY-AUTO,01X,100 OAK ST,Oakland,CA,
MISDEMEANOR ASSAULT,02/15/2021 11:01:00 PM,21-007457,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,24X,1900 HARRINGTON AV,Oakland,CA,
OTHER,11/03/2020 07:53:00 AM,20-054261,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,35X,8600 MACARTHUR BLVD,Oakland,CA,
BURG - AUTO,02/11/2021 01:15:00 PM,21-902004,BURGLARY-AUTO,77X,30TH ST,Oakland,CA,
STOLEN VEHICLE,02/08/2021 11:35:00 PM,21-006306,VEHICLE THEFT - AUTO,31Z,PIPPIN ST & PRUNE AV,Oakland,CA,
DISORDERLY CONDUCT,02/04/2021 04:30:00 PM,21-005630,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,23X,1500 35TH AV,Oakland,CA,
BURG - OTHER,01/17/2021 12:00:00 PM,21-002647,BURGLARY-FORCIBLE ENTRY,04X,1500 JACKSON ST,Oakland,CA,
ROBBERY,12/05/2020 05:00:00 PM,20-059706,ASSAULT WITH FIREARM ON PERSON,35X,82ND AV & BANCROFT AV,Oakland,CA,
PETTY THEFT,02/13/2021 10:47:00 AM,21-902440,MAIL/ETC THEFT/ETC,77X,1200 PINE ST,Oakland,CA,
ROBBERY,02/04/2021 11:09:00 PM,21-005655,ATTEMPTED ROBBERY-STRONG-ARM,09X,5100 BROADWAY,Oakland,CA,
OTHER,12/16/2020 08:18:00 PM,20-061579,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,26Y,1200 66TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/08/2021 03:08:00 AM,21-900299,ASSAULT,01X,00 EMBARCADERO WEST,Oakland,CA,
ROBBERY,01/10/2021 07:44:00 PM,21-001632,"SC ROBBERY - HANDS, FISTS, FEET, ETC, - AGGRAVATED",32Y,10000 MACARTHUR BLVD,Oakland,CA,
STOLEN VEHICLE,01/30/2021 06:00:00 PM,21-004844,VEHICLE THEFT - AUTO,09X,4200 PIEDMONT AV,Oakland,CA,
MISDEMEANOR ASSAULT,12/14/2020 11:21:00 AM,20-061189,BATTERY,29X,6900 FOOTHILL BLVD,Oakland,CA,
GRAND THEFT,12/18/2020 08:27:00 PM,20-920979,GRAND THEFT,12X,4500 BROADWAY,Oakland,CA,
ROBBERY,12/20/2020 04:55:00 PM,20-062240,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1200 11TH AV,Oakland,CA,
GRAND THEFT,01/17/2021 04:00:00 PM,21-900992,GRAND THEFT,07X,2300 MAGNOLIA ST,Oakland,CA,
BURG - AUTO,01/19/2021 01:01:00 AM,21-900907,BURGLARY-AUTO,35X,9400 THERMAL ST,Oakland,CA,
VANDALISM,02/12/2021 12:00:00 AM,21-902486,VANDALISM,03X,600 MADISON ST,Oakland,CA,
VANDALISM,11/21/2020 07:00:00 PM,20-919759,VANDALISM,14X,400 ADAMS ST,Oakland,CA,
FELONY ASSAULT,02/15/2021 12:19:00 PM,21-007374,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,02X,700 ADELINE ST,Oakland,CA,
PETTY THEFT,01/02/2021 12:00:00 PM,21-900806,THEFT,08X,3000 BROADWAY,Oakland,CA,
BURG - AUTO,02/18/2021 01:30:00 PM,21-902303,BURGLARY-AUTO,77X,MIRA VISTA AVE,Oakland,CA,
GRAND THEFT,01/20/2021 11:32:00 AM,21-902087,MAIL/ETC THEFT/ETC,33X,1000 88TH AV,Oakland,CA,
DISORDERLY CONDUCT,11/24/2020 01:30:00 PM,20-059078,DISTURB THE PEACE,24Y,3600 PENNIMAN AV,Oakland,CA,
ROBBERY,11/30/2020 04:54:00 PM,20-058742,VANDALISM-$400+,32Y,10700 MACARTHUR BLVD,Oakland,CA,
FELONY ASSAULT,12/16/2020 02:13:00 PM,20-061524,BATTERY W/SERIOUS BODILY INJURY,23X,1400 34TH AV,Oakland,CA,
GRAND THEFT,11/07/2020 06:15:00 AM,20-920129,GRAND THEFT,28X,4600 FAIRBAIRN AV,Oakland,CA,
BURG - AUTO,01/07/2021 10:00:00 PM,21-900294,BURGLARY-AUTO,32X,1800 107TH AV,Oakland,CA,
STOLEN VEHICLE,12/23/2020 03:00:00 AM,20-921060,ATTEMPT VEHICLE THEFT-AUTO,01X,00 EMBARCADERO WEST,Oakland,CA,
RECOVERED O/S STOLEN,01/07/2021 08:37:00 AM,21-000994,VEHICLE THEFT - AUTO,26X,4700 E 12TH ST,Oakland,CA,
,02/25/2021 10:25:00 PM,21-009079,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,31Y,9900 ST ELMO DR,Oakland,CA,
BURG - AUTO,12/29/2020 05:10:00 PM,20-921301,BURGLARY-AUTO,08X,300 30TH ST,Oakland,CA,
HOMICIDE,01/26/2021 11:00:00 PM,21-004123,SC UNEXPLAINED DEATH,12Y,5900 ROSS ST,Oakland,CA,
FELONY ASSAULT,01/14/2021 12:56:00 AM,21-002138,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26Y,6200 FENHAM ST,Oakland,CA,
DISORDERLY CONDUCT,02/09/2021 06:17:00 PM,21-006477,DISTURB BY LOUD/UNREASONABLE NOISE,21Y,2100 34TH AV,Oakland,CA,
ROBBERY,01/31/2021 06:33:00 PM,21-004916,ROBBERY-FIREARM,31Z,300 105TH AV,Oakland,CA,
STOLEN VEHICLE,01/13/2021 11:00:00 AM,21-002447,VEHICLE THEFT - AUTO,10X,1100 66TH ST,Oakland,CA,
BURG - AUTO,12/08/2020 08:10:00 AM,20-920421,THEFT,77X,700S TRESTLE GLEN ROAD,Oakland,CA,
FELONY ASSAULT,01/12/2021 03:05:00 PM,21-001917,CARRY CONCEALED WEAPON ON PERSON,02Y,1400 7TH ST,Oakland,CA,
OTHER,10/29/2020 10:50:00 PM,20-053558,FORCIBLE ENTRY AND DETAINER,21X,2100 23RD AV,Oakland,CA,
ROBBERY,02/21/2021 01:50:00 PM,21-008335,ROBBERY-FIREARM,21Y,3200 E 23RD ST,Oakland,CA,
PETTY THEFT,11/29/2020 02:38:00 PM,20-058557,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,23X,4200 INTERNATIONAL BLVD,Oakland,CA,
CURFEW & LOITERING,02/17/2021 06:01:00 AM,21-007657,VANDALISM,16X,1200 SUNNYHILLS RD,Oakland,CA,
,02/23/2021 04:19:00 PM,21-008732,THEFT,18X,2200 E-21ST ST.,Oakland,CA,
PETTY THEFT,02/20/2021 03:50:00 PM,21-008233,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,08X,2600 BROADWAY,Oakland,CA,
BURG - OTHER,02/13/2021 04:00:00 AM,21-902106,BURGLARY-NO FORCE,20X,2600 E 12TH ST,Oakland,CA,
THREATS,01/21/2021 05:25:00 PM,21-003273,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,26X,5400 COLISEUM WY,Oakland,CA,
RECOVERED O/S STOLEN,10/20/2020 08:01:00 AM,20-051761,VEHICLE THEFT - AUTO,26Y,7000 HAMILTON ST,Oakland,CA,
BURG - RESIDENTIAL,11/26/2020 04:30:00 AM,20-920001,BURGLARY-FORCIBLE ENTRY,13Z,6400 COLTON BLVD,Oakland,CA,
WEAPONS,02/23/2021 07:47:00 PM,21-008748,RECEIVE/ETC KNOWN STOLEN PROPERTY,02Y,800 CAMPBELL ST,Oakland,CA,
RECOVERED O/S STOLEN,01/31/2021 07:40:00 PM,21-004922,VEHICLE THEFT - AUTO,32Y,2300 98TH AV,Oakland,CA,
STOLEN VEHICLE,11/21/2020 04:00:00 AM,20-057710,VEHICLE THEFT - AUTO,33X,1200 90TH AV,Oakland,CA,
NARCOTICS,01/23/2021 11:12:00 AM,21-003533,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",02Y,1400 7TH ST,Oakland,CA,
MISDEMEANOR ASSAULT,12/30/2020 01:00:00 PM,20-063827,DISTURB THE PEACE,30X,7800 LOCKWOOD ST,Oakland,CA,
DOMESTIC VIOLENCE,12/25/2020 03:51:00 PM,20-062978,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24Y,3100 38TH AV,Oakland,CA,
WEAPONS,12/19/2020 11:54:00 PM,20-062142,MISD-CARRY LOADED HANDGUN: NOT REGISTERED OWNER,35X,2300 82ND AV,Oakland,CA,
STOLEN VEHICLE,01/20/2021 09:30:00 AM,21-003084,VEHICLE THEFT - AUTO,30Y,7000 BANCROFT AV,Oakland,CA,
DOMESTIC VIOLENCE,02/12/2021 06:08:00 AM,21-006860,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30X,2500 HAVENSCOURT BLVD,Oakland,CA,
PETTY THEFT,12/08/2020 01:24:00 PM,20-060176,SHOPLIFT,21Y,3200 FOOTHILL BLVD,Oakland,CA,
DUI,01/15/2021 10:23:00 PM,21-002442,DUI ALCOHOL/DRUGS,19X,900 INTERNATIONAL BLVD,Oakland,CA,
BURG - OTHER,01/20/2021 06:00:00 AM,21-901055,BURGLARY-NO FORCE,25X,3400 35TH AV,Oakland,CA,
PETTY THEFT,12/09/2020 11:57:00 AM,20-060331,THEFT,26Y,7200 SAN LEANDRO ST,Oakland,CA,
WEAPONS,02/10/2021 06:27:00 PM,21-006632,BATTERY,14X,500 GRAND AV,Oakland,CA,
HOMICIDE,01/09/2021 09:50:00 PM,21-001493,MURDER,19X,1200 7TH AV,Oakland,CA,
DOMESTIC VIOLENCE,01/11/2021 01:40:00 AM,21-001678,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,03Y,6TH ST & CASTRO ST,Oakland,CA,
ROBBERY,01/06/2021 11:11:00 AM,21-000830,CARJACKING WITH FIREARM,31Z,10200 PEARMAIN ST,Oakland,CA,
,02/25/2021 07:00:00 PM,21-009064,CARJACKING WITH FIREARM,22Y,IFO 3630 HILLVIEW ST,Oakland,CA,
MISDEMEANOR ASSAULT,04/01/2020 12:00:00 AM,21-002210,DISTURB THE PEACE,08X,500 25TH ST,Oakland,CA,
BURG - AUTO,01/09/2021 11:10:00 PM,21-900393,BURGLARY-AUTO,08X,100 GRAND AV,Oakland,CA,
PETTY THEFT,12/06/2020 11:06:00 AM,20-920614,THEFT,20X,3000 E 9TH ST,Oakland,CA,
STOLEN VEHICLE,12/01/2020 06:20:00 PM,20-058928,POSSESS NARCOTIC CONTROLLED SUBSTANCE,30X,1400 71ST AV,Oakland,CA,
OTHER,12/16/2020 03:00:00 PM,20-062080,VIOLATION CUSTODY DECREE,03Y,400 7TH ST,Oakland,CA,
DOMESTIC VIOLENCE,12/22/2020 07:00:00 AM,20-062496,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,35X,8600 MACARTHUR BLVD,Oakland,CA,
FELONY ASSAULT,02/03/2021 05:15:00 PM,21-005459,BURGLARY-FORCIBLE ENTRY,01X,200 WASHINGTON ST,Oakland,CA,
MISDEMEANOR ASSAULT,02/11/2021 05:00:00 PM,21-902009,ASSAULT,07X,2800 FILBERT ST,Oakland,CA,
TOWED VEHICLE,09/18/2018 11:32:00 AM,18-047343,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER,30X,6600 ARTHUR ST,Oakland,CA,
RECOVERED O/S STOLEN,12/30/2020 01:18:00 AM,20-063631,POSS STOLEN VEH/VES/ETC,19X,2200 E 15TH ST,Oakland,CA,
BURG - AUTO,02/17/2021 05:30:00 AM,21-007779,BURGLARY-AUTO,27X,4900 CONGRESS AV,Oakland,CA,
DOMESTIC VIOLENCE,01/16/2021 07:06:00 PM,21-002549,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,08X,2800 TELEGRAPH AV,Oakland,CA,
DUI,12/14/2020 06:08:00 PM,20-061245,DUI ALCOHOL/DRUGS,20X,26TH AV & FOOTHILL BLVD,Oakland,CA,
FELONY ASSAULT,02/06/2021 01:09:00 AM,21-005818,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,02Y,1700 9TH ST,Oakland,CA,
HOMICIDE,01/25/2021 07:59:00 PM,21-003911,MFG/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE,07X,1000 30TH ST,Oakland,CA,
FELONY ASSAULT,02/12/2021 05:50:00 PM,21-006959,ASSAULT WITH FIREARM ON PERSON,34X,8400 OLIVE ST,Oakland,CA,
PETTY THEFT,02/15/2021 08:00:00 PM,21-007604,THEFT,06X,3600 WEST ST,Oakland,CA,
PETTY THEFT,12/15/2020 03:00:00 PM,20-061461,THEFT:PERSONAL PROPERTY [OVER $400],19X,200 E 12TH ST,Oakland,CA,
FELONY ASSAULT,01/09/2027 07:27:00 PM,21-003599,ASSAULT WITH FIREARM ON PERSON,08X,2200 TELEGRAPH AV,Oakland,CA,
RECOVERED O/S STOLEN,01/25/2021 06:51:00 PM,21-003904,VEHICLE THEFT - AUTO,26X,800 50TH AV,Oakland,CA,
STOLEN VEHICLE,12/24/2020 01:30:00 AM,20-062787,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,23X,4000 ALAMEDA AV,Oakland,CA,
FELONY ASSAULT,12/12/2020 08:31:00 PM,20-060931,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,33X,1300 88TH AV,Oakland,CA,
PETTY THEFT,12/27/2020 07:30:00 AM,20-063191,SC THEFT,04X,600 WILLIAM ST,Oakland,CA,
THREATS,02/08/2021 06:17:00 PM,21-006264,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,06X,2500 MARTIN LUTHER KING JR W,Oakland,CA,
DOMESTIC VIOLENCE,02/06/2021 05:15:00 AM,21-005837,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,29X,6600 LAIRD AV,Oakland,CA,
VANDALISM,02/07/2021 02:35:00 AM,21-902037,VANDALISM,09X,3800 HARRISON ST,Oakland,CA,
BURG - AUTO,09/04/2020 12:00:00 PM,21-005014,BURGLARY-AUTO,77X,2600 EC REEMS CT,Oakland,CA,
VANDALISM,02/10/2021 11:50:00 AM,21-901971,VANDALISM,09X,300 MONTE VISTA AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/30/2021 11:57:00 AM,21-004697,VANDALISM,31Y,8400 ENTERPRISE WY,Oakland,CA,
PETTY THEFT,12/17/2020 09:00:00 PM,20-920876,THEFT,22Y,3400 RUBIN DR,Oakland,CA,
FELONY ASSAULT,12/14/2020 12:23:00 AM,20-061120,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,24X,3500 DAVIS ST,Oakland,CA,
VANDALISM,05/30/2020 12:39:00 AM,20-026641,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,04X,1400 BROADWAY,Oakland,CA,
PETTY THEFT,01/01/2021 12:00:00 AM,21-001882,THEFT,07X,3400 ETTIE ST,Oakland,CA,
VANDALISM,12/21/2020 11:00:00 AM,20-062482,VANDALISM-$400+,34X,9300 WALNUT ST,Oakland,CA,
BURG - AUTO,02/06/2021 10:00:00 AM,21-901819,BURGLARY-AUTO,13Z,8400 SKYLINE BLVD,Oakland,CA,
PETTY THEFT,12/12/2020 03:00:00 PM,20-061343,THEFT,31X,8100 EDGEWATER DR,Oakland,CA,
BURG - AUTO,01/25/2021 10:20:00 PM,21-901294,BURGLARY-AUTO,13Y,6400 THORNHILL DR,Oakland,CA,
MISDEMEANOR ASSAULT,02/13/2021 06:02:00 PM,21-007121,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30Y,7300 MACARTHUR BLVD,Oakland,CA,
NARCOTICS,12/18/2020 06:03:00 PM,20-061867,POSSESS CONTROLLED SUBSTANCE,26Y,6100 EASTLAWN ST,Oakland,CA,
WEAPONS,12/16/2020 12:18:00 AM,20-061439,CARRY STOLEN LOADED FIREARM,18X,1800 E 17TH ST,Oakland,CA,
DOMESTIC VIOLENCE,01/08/2021 04:00:00 AM,21-001128,INFLICT CRPL INJ SP/COHAB,25X,4800 CALAVERAS BLVD,Oakland,CA,
BURG - AUTO,12/28/2020 11:25:00 PM,20-921333,BURGLARY-AUTO,22X,4200 LAGUNA AV,Oakland,CA,
STOLEN VEHICLE,01/22/2021 11:30:00 PM,21-005336,VEHICLE THEFT - AUTO,05Y,1500 MARITIME ST,Oakland,CA,
BURG - AUTO,02/14/2021 05:00:00 PM,21-007243,POSSESS CONTROLLED SUBSTANCE,31Y,HEGENBERGER RD & LEET DR,Oakland,CA,
BURG - COMMERCIAL,01/28/2021 03:10:00 PM,21-004316,BURGLARY-FORCIBLE ENTRY,01X,500 EMBARCADERO WEST,Oakland,CA,
PETTY THEFT,01/10/2021 02:00:00 PM,21-006384,THEFT,33X,9300 INTERNATIONAL BLVD,Oakland,CA,
VANDALISM,01/16/2021 06:01:00 AM,21-002475,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,32X,98TH AV & B ST,Oakland,CA,
STOLEN VEHICLE,12/26/2020 05:00:00 PM,20-063130,VEHICLE THEFT - AUTO,17X,1800 9TH AV,Oakland,CA,
VANDALISM,01/05/2021 06:00:00 AM,21-900189,VANDALISM,04X,1500 LAKESIDE DR,Oakland,CA,
ROBBERY,12/19/2020 01:05:00 AM,20-061908,ROBBERY-FIREARM,19X,1700 E 12TH ST,Oakland,CA,
FRAUD,12/22/2020 11:10:00 AM,20-921020,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,10Y,800 STANFORD AV,Oakland,CA,
VANDALISM,01/26/2021 09:00:00 PM,21-901350,VANDALISM,12X,4000 OPAL ST,Oakland,CA,
ROBBERY,02/08/2021 06:00:00 PM,21-006292,ATTEMPTED ROBBERY-STRONG-ARM,19X,500 E 12TH ST,Oakland,CA,
MISDEMEANOR ASSAULT,01/30/2021 07:56:00 PM,21-004766,BATTERY,06X,800 35TH ST,Oakland,CA,
ROBBERY,01/28/2021 04:37:00 PM,21-004338,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",22X,3500 FRUITVALE AV,Oakland,CA,
OTHER,12/11/2020 02:06:00 PM,20-060742,SC ELDER ABUSE,04X,VALLEY ST & W GRAND AV,Oakland,CA,
MISDEMEANOR ASSAULT,12/19/2020 12:00:00 PM,20-062097,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,35X,9700 ELMVIEW DR,Oakland,CA,
BURG - AUTO,12/21/2020 05:00:00 PM,20-062414,BURGLARY-AUTO,02Y,700 CHESTER ST,Oakland,CA,
STOLEN VEHICLE,01/26/2021 07:30:00 PM,21-004206,VEHICLE THEFT - AUTO,29X,6000 MONADNOCK WY,Oakland,CA,
PETTY THEFT,12/07/2020 09:16:00 AM,20-920900,MAIL/ETC THEFT/ETC,18X,2200 E 21ST ST,Oakland,CA,
ROBBERY,11/28/2020 08:55:00 PM,20-058461,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3600 ALAMEDA AV,Oakland,CA,
ROBBERY,12/22/2020 10:23:00 PM,20-062604,CARJACKING WITH FIREARM,30X,7200 BANCROFT AV,Oakland,CA,
DOMESTIC VIOLENCE,12/16/2020 03:15:00 AM,20-061455,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26Y,1300 80TH AV,Oakland,CA,
STOLEN VEHICLE,12/31/2020 03:00:00 PM,21-000038,VEHICLE THEFT - AUTO,01X,400 MADISON ST,Oakland,CA,
PETTY THEFT,02/08/2021 12:00:00 PM,21-006566,THEFT,35X,8600 THERMAL ST,Oakland,CA,
BURG - AUTO,02/04/2021 11:50:00 PM,21-902155,BURGLARY-AUTO,04X,100 17TH ST,Oakland,CA,
VANDALISM,02/12/2021 11:35:00 AM,21-902039,VANDALISM,77X,SKYLINE BOULEVARD,Oakland,CA,
STOLEN VEHICLE,02/05/2021 05:00:00 PM,21-006441,VEHICLE THEFT - AUTO,23X,4100 E 12TH ST,Oakland,CA,
DISORDERLY CONDUCT,12/29/2020 05:53:00 PM,20-063572,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,20X,2700 E 10TH ST,Oakland,CA,
OTHER,02/07/2021 06:34:00 PM,21-006071,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30X,1400 79TH AV,Oakland,CA,
VANDALISM,12/19/2020 02:21:00 AM,20-061916,VANDALISM,32X,1100 103RD AV,Oakland,CA,
BURG - AUTO,11/15/2020 03:00:00 PM,20-919413,BURGLARY-AUTO,01X,200 4TH ST,Oakland,CA,
ROBBERY,01/20/2021 04:20:00 PM,21-003106,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",12Y,6300 TELEGRAPH AV,Oakland,CA,
STOLEN VEHICLE,09/01/2020 04:00:00 PM,21-003238,VEHICLE THEFT - AUTO,35X,8900 BURR ST,Oakland,CA,
THREATS,01/08/2021 05:30:00 PM,21-001228,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,03Y,400 7TH ST,Oakland,CA,
ROBBERY,12/04/2020 08:06:00 PM,20-059495,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",26X,HIGH ST & INTERNATIONAL BLVD,Oakland,CA,
,02/23/2021 10:26:00 AM,21-008693,TRESPASSING,27Y,2500 64TH AV,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,01/01/2021 05:00:00 AM,21-000285,VEHICLE THEFT - AUTO,20X,2500 E 16TH ST,Oakland,CA,
VANDALISM,12/14/2020 08:15:00 PM,20-920805,VANDALISM,08X,2900 BROADWAY,Oakland,CA,
MISDEMEANOR ASSAULT,12/06/2020 11:58:00 PM,20-059746,BATTERY,31Y,500 98TH AV,Oakland,CA,
FELONY ASSAULT,01/20/2021 10:53:00 PM,21-003144,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32X,10400 WALNUT ST,Oakland,CA,
FELONY ASSAULT,12/07/2020 11:45:00 PM,20-060087,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26Y,1200 60TH AV,Oakland,CA,
DOMESTIC VIOLENCE,01/08/2021 10:00:00 PM,21-001249,INFLICT CRPL INJ SP/COHAB,20X,2300 INTERNATIONAL BLVD,Oakland,CA,
BURG - AUTO,01/21/2021 02:15:00 AM,21-901617,BURGLARY-AUTO,22Y,3500 LAUREL AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/31/2021 01:30:00 AM,21-004810,BATTERY,03Y,400 8TH ST,Oakland,CA,
ROBBERY,12/04/2020 01:30:00 AM,20-059345,CARJACKING - STRONGARM,23X,34TH AV & E 9TH ST,Oakland,CA,
STOLEN VEHICLE,02/21/2021 07:14:00 AM,21-008286,VEHICLE THEFT - AUTO,20X,3000 E 9TH ST,Oakland,CA,
MISDEMEANOR ASSAULT,11/30/2020 06:18:00 PM,20-058764,BATTERY,02Y,1300 PERALTA ST,Oakland,CA,
PETTY THEFT,01/30/2021 10:45:00 AM,21-004680,THEFT,32Y,10400 SHAW ST,Oakland,CA,
VANDALISM,01/22/2021 05:00:00 AM,21-901093,VANDALISM,07X,2500 SAN PABLO AV,Oakland,CA,
THREATS,01/07/2021 10:00:00 PM,21-001095,ASSAULT AND BATTERY,14Y,3700 GRAND AV,Oakland,CA,
ROBBERY,12/30/2020 09:30:00 PM,20-063761,ROBBERY-FIREARM,06X,800 27TH ST,Oakland,CA,
THREATS,12/17/2020 09:05:00 AM,20-061643,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,26Y,1300 80TH AV,Oakland,CA,
VANDALISM,01/22/2021 12:40:00 PM,21-901091,VANDALISM,14X,300 GRAND AV,Oakland,CA,
FELONY ASSAULT,01/09/2021 06:32:00 AM,21-001303,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,33X,1200 83RD AV,Oakland,CA,
WEAPONS,12/22/2020 03:40:00 PM,20-062564,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,35X,8400 DOWLING ST,Oakland,CA,
FELONY ASSAULT,01/07/2021 12:08:00 AM,21-000943,ASSAULT WITH FIREARM ON PERSON,23X,3300 SAN LEANDRO ST,Oakland,CA,
PETTY THEFT,12/11/2020 04:00:00 PM,20-060843,THEFT,06X,27TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,01/02/2021 09:00:00 PM,21-900120,ATTEMPT VEHICLE THEFT-AUTO,22Y,3100 FRYE ST,Oakland,CA,
FELONY ASSAULT,01/22/2021 08:16:00 PM,21-003458,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32Y,1900 WARNER AV,Oakland,CA,
HOMICIDE,01/11/2021 11:02:00 AM,21-001729,SC UNEXPLAINED DEATH,05Y,00 BURMA RD,Oakland,CA,
VANDALISM,01/25/2021 03:45:00 PM,21-003865,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER,33X,8200 INTERNATIONAL BLVD,Oakland,CA,
PETTY THEFT,12/25/2020 05:00:00 PM,20-063046,THEFT,19X,1800 EMBARCADERO,Oakland,CA,
WEAPONS,10/11/2020 10:32:00 PM,20-050369,CARRY CONCEALED WEAPON ON PERSON,26Y,7100 HAMILTON ST,Oakland,CA,
MISDEMEANOR ASSAULT,12/10/2020 11:30:00 AM,20-060546,BATTERY,29X,5600 BANCROFT AV,Oakland,CA,
ROBBERY,02/05/2021 06:10:00 PM,21-005782,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03Y,700 WASHINGTON ST,Oakland,CA,
FRAUD,12/04/2020 08:40:00 PM,20-920297,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,23X,1400 37TH AV,Oakland,CA,
VANDALISM,01/16/2021 02:45:00 PM,21-900870,VANDALISM,22Y,10800 SKYLINE BLVD,Oakland,CA,
