CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
STOLEN VEHICLE,12/14/2020 04:57:00 PM,20-061230,VEHICLE THEFT - AUTO,31Z,800 MOORPARK AV,Oakland,CA,
MISDEMEANOR ASSAULT,12/10/2020 01:27:00 AM,20-060452,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,32Y,2300 106TH AV,Oakland,CA,
STOLEN VEHICLE,12/12/2020 12:30:00 AM,20-060852,VEHICLE THEFT - AUTO,13Z,7000 SARONI DR,Oakland,CA,
STOLEN VEHICLE,12/10/2020 08:30:00 AM,20-060641,VEHICLE THEFT - AUTO,26Y,1300 80TH AV,Oakland,CA,
DOMESTIC VIOLENCE,01/09/2021 01:09:00 PM,21-002984,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,04X,600 21ST ST,Oakland,CA,
STOLEN VEHICLE,02/06/2021 11:23:00 PM,21-005958,VEHICLE THEFT - AUTO,19X,2200 E 12TH ST,Oakland,CA,
STOLEN VEHICLE,12/04/2020 10:08:00 AM,20-059401,VEHICLE THEFT - AUTO,33X,1300 97TH AV,Oakland,CA,
BURG - AUTO,02/06/2021 11:05:00 PM,21-901915,BURGLARY-AUTO,21Y,3000 MAPLE AV,Oakland,CA,
WEAPONS,12/16/2020 06:31:00 PM,20-061566,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,31Y,9700 CORAL RD,Oakland,CA,
BURG - AUTO,11/19/2020 09:30:00 PM,20-919839,BURGLARY-AUTO,14Y,500 FAIRBANKS AV,Oakland,CA,
WEAPONS,02/20/2021 02:11:00 AM,21-008118,MISD-CARRY LOADED HANDGUN: NOT REGISTERED OWNER,29X,3500 66TH AV,Oakland,CA,
FORGERY & COUNTERFEITING,06/11/2018 08:00:00 PM,20-920482,FORGERY,15X,3000 PARK BLVD,Oakland,CA,
NARCOTICS,12/10/2020 07:08:00 AM,20-060509,"SIMPLE POSSESSION OF METHAMPHETAMINE, ECSTASY, GHB, LISTED SUBSTANCES",23X,3300 & SAN LEANDRO ST,Oakland,CA,
FELONY ASSAULT,01/22/2021 07:18:00 PM,21-003441,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,24X,4100 SANTA RITA ST,Oakland,CA,
STOLEN VEHICLE,01/07/2021 09:00:00 AM,21-001147,VEHICLE THEFT - AUTO,20X,2600 E 10TH ST,Oakland,CA,
VANDALISM,01/06/2021 11:15:00 PM,21-900236,VANDALISM,35X,9000 BURR ST,Oakland,CA,
ROBBERY,01/09/2021 04:26:00 AM,21-001274,CARJACKING WITH FIREARM,26X,HIGH ST & SAN LEANDRO ST,Oakland,CA,
BURG - OTHER,12/15/2020 10:00:00 AM,20-061384,BURGLARY-NO FORCE,26X,5200 COLISEUM WY,Oakland,CA,
STOLEN VEHICLE,11/23/2020 12:00:00 PM,20-058608,VEHICLE THEFT - AUTO,07X,1200 26TH ST,Oakland,CA,
,02/22/2021 11:10:00 PM,21-008603,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,35X,2200 90TH AVENUE,Oakland,CA,
STOLEN VEHICLE,01/03/2021 08:00:00 PM,21-000760,VEHICLE THEFT - AUTO,33X,8600 B ST,Oakland,CA,
WEAPONS,02/25/2021 04:01:00 AM,21-008936,MISD-CARRY LOADED HANDGUN: NOT REGISTERED OWNER,27X,2200 50TH AV,Oakland,CA,
BURG - AUTO,02/21/2021 04:10:00 PM,21-902344,BURGLARY-AUTO,01X,100 OAK ST,Oakland,CA,
BURG - AUTO,12/27/2020 02:00:00 AM,20-921195,BURGLARY-AUTO,30X,2500 66TH AV,Oakland,CA,
WEAPONS,12/07/2020 03:16:00 PM,20-060018,CARRY CONCEALED WEAPON IN VEH W/PRIOR CONVICTION,28X,3500 PIERSON ST,Oakland,CA,
STOLEN VEHICLE,08/28/2020 06:45:00 AM,20-042903,VEHICLE THEFT - AUTO,15X,800 MCKINLEY AV,Oakland,CA,
,02/25/2021 01:00:00 AM,21-902561,BURGLARY-FORCIBLE ENTRY,22Y,00 KIMBERLIN HEIGHTS DRIVE,Oakland,CA,
ROBBERY,01/17/2021 12:30:00 AM,21-002583,ROBBERY-KNIFE OR CUTTING INSTRUMENT,14X,400 PERKINS ST,Oakland,CA,
PETTY THEFT,12/30/2020 07:30:00 AM,21-000240,THEFT,33X,1000 92ND AV,Oakland,CA,
STOLEN VEHICLE,02/03/2021 10:00:00 PM,21-007036,VEHICLE THEFT - AUTO,01X,2ND ST & MADISON ST,Oakland,CA,
VANDALISM,02/07/2021 12:00:00 AM,21-901900,VANDALISM,25X,4000 DAVENPORT AV,Oakland,CA,
BURG - AUTO,11/24/2020 02:30:00 PM,20-919909,BURGLARY-AUTO,27Y,1700 62ND AV,Oakland,CA,
WEAPONS,01/31/2021 04:55:00 PM,21-004914,TRESPASS:REFUSE TO LEAVE PROPERTY,26X,5400 COLISEUM WY,Oakland,CA,
FORGERY & COUNTERFEITING,11/23/2020 05:30:00 PM,20-919768,FORGERY,13Y,6800 BRISTOL DR,Oakland,CA,
PETTY THEFT,11/30/2020 08:55:00 PM,20-920424,THEFT,17Y,2800 VALLECITO PL,Oakland,CA,
MISDEMEANOR ASSAULT,12/25/2020 12:37:00 AM,20-062898,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26Y,1200 62ND AV,Oakland,CA,
STOLEN VEHICLE,01/13/2021 01:00:00 PM,21-002970,VEHICLE THEFT - AUTO,21Y,2500 FRUITVALE AV,Oakland,CA,
VANDALISM,12/14/2020 02:40:00 PM,20-920687,VANDALISM,27Y,4700 INTERNATIONAL BLVD,Oakland,CA,
STOLEN VEHICLE,12/09/2020 02:19:00 PM,20-060365,VEHICLE THEFT - AUTO,24Y,2600 ABBEY ST,Oakland,CA,
BURG - AUTO,02/17/2021 06:20:00 PM,21-902210,BURGLARY-AUTO,14Y,3700 GRAND AV,Oakland,CA,
PETTY THEFT,12/25/2020 12:00:00 AM,20-063358,THEFT,03Y,400 7TH ST,Oakland,CA,
NARCOTICS,12/10/2020 07:08:00 AM,20-060509,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",23X,3300 & SAN LEANDRO ST,Oakland,CA,
FELONY ASSAULT,01/18/2021 04:30:00 PM,21-002857,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,31Z,600 BERGEDO DR,Oakland,CA,
FELONY ASSAULT,02/09/2021 01:58:00 AM,21-006326,ASSAULT WITH FIREARM ON PERSON,34X,1900 96TH AV,Oakland,CA,
DOMESTIC VIOLENCE,02/09/2021 07:12:00 PM,21-006473,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Z,10700 ACALANES DR,Oakland,CA,
VANDALISM,02/12/2021 06:21:00 AM,21-006861,VANDALISM,19X,400 23RD AV,Oakland,CA,
